"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Tags","IntrinsicDifficulty"
"What is least privilege principle?","Grant minimal required access.","Improves security.","Access control.","Hard to maintain.","Giving full access.","IAM policies.","aws security","3"
"What is multi-region deployment?","Deploying across regions.","Improves availability.","Global systems.","Higher cost.","Ignoring data sync.","Global app.","aws architecture","4"
"What is failover strategy?","Switching to backup system.","Improves resilience.","Critical systems.","Complex setup.","Not testing failover.","Primary DB failure.","aws reliability","4"
"What is blue-green deployment in AWS?","Switch traffic between environments.","Safe deployments.","Production updates.","Extra cost.","Ignoring DB sync.","App deployment.","aws devops","3"
"What is canary deployment?","Gradual rollout.","Reduces risk.","Feature releases.","Requires monitoring.","Ignoring metrics.","New feature.","aws devops","3"
"What is cold start in Lambda?","Delay when function initializes.","Affects latency.","Low-frequency usage.","Performance hit.","Ignoring impact.","API calls.","aws lambda","3"
"What is cloud elasticity?","Ability to scale dynamically.","Optimizes cost.","Variable workloads.","Complex scaling.","Overprovisioning.","Traffic spikes.","aws scaling","2"
"What is managed service advantage?","Reduces operational overhead.","Focus on business logic.","Cloud adoption.","Less control.","Vendor lock-in.","Using RDS.","aws architecture","2"
"What is vendor lock-in?","Dependency on cloud provider.","Limits flexibility.","Cloud systems.","Migration difficulty.","Ignoring portability.","AWS-specific design.","aws architecture","3"
"What is data egress cost?","Cost of data leaving AWS.","Impacts architecture.","High data transfer.","Unexpected costs.","Ignoring cost model.","Large downloads.","aws cost","3"
"What is cloud cost optimization?","Managing usage to reduce cost.","Critical for scaling.","Production systems.","Complex tracking.","Ignoring unused resources.","Idle instances.","aws cost","3"
"What causes unnecessary React re-renders?","Changing object/function references, parent re-renders, and state updates that don’t affect UI.","Impacts performance and responsiveness.","Large component trees.","Requires memoization.","Overusing memo prematurely.","Passing new inline functions.","react performance","3"
"What is React reconciliation?","Process of diffing virtual DOM and updating real DOM efficiently.","Core to React performance.","UI updates.","Not always minimal updates.","Assuming perfect diffing.","Dynamic lists.","react rendering","3"
"What is React key prop?","Unique identifier for list elements.","Helps React track changes.","Rendering lists.","Wrong keys cause bugs.","Using index as key.","Dynamic lists.","react basics","2"
"What is useMemo?","Memoizes computed values.","Avoids expensive recalculations.","Heavy computations.","Memory overhead.","Overusing memoization.","Derived state.","react performance","3"
"What is useCallback?","Memoizes functions.","Prevents unnecessary re-renders.","Passing callbacks.","Complexity overhead.","Using everywhere.","Child component props.","react performance","3"
"What is React Strict Mode?","Development tool to detect issues.","Double-invokes lifecycle.","Debugging.","Only dev mode.","Misinterpreting behavior.","Side effects.","react debugging","2"
"What is lifting state up?","Moving shared state to common ancestor.","Ensures consistency.","Shared components.","Prop drilling.","Over-centralizing state.","Form inputs.","react state","2"
"What is prop drilling?","Passing props through multiple levels.","Can make code messy.","Deep component trees.","Hard to maintain.","Avoiding when unnecessary.","Nested components.","react architecture","2"
"What is context API?","Provides global state.","Avoids prop drilling.","Global state.","Performance issues.","Overusing context.","Theme data.","react state","3"
"What is Redux vs Context?","Redux is centralized store; Context is simpler global state.","Different scaling needs.","Large apps.","Redux complexity.","Using Redux too early.","App state management.","react architecture","3"
"What is controlled component?","Component controlled by React state.","Predictable behavior.","Forms.","More code.","Mixing controlled/uncontrolled.","Form inputs.","react forms","2"
"What is uncontrolled component?","Uses DOM for state.","Simpler implementation.","Simple forms.","Less control.","Using in complex forms.","Input fields.","react forms","2"
"What is React Suspense?","Handles async loading states.","Improves UX.","Lazy loading.","Limited use cases.","Misusing for data fetching.","Component loading.","react async","3"
"What is lazy loading?","Loading components on demand.","Improves performance.","Large apps.","Initial delay.","Over-splitting.","Code splitting.","react performance","3"
"What is code splitting?","Breaking bundle into smaller pieces.","Reduces load time.","Large apps.","More requests.","Over-fragmenting.","Webpack config.","react performance","3"
"What is virtual DOM?","In-memory representation of UI.","Improves updates.","Modern frameworks.","Still requires diffing.","Assuming no cost.","UI updates.","react architecture","2"
"What is hydration?","Attaching event listeners to SSR HTML.","Enables interactivity.","SSR apps.","Mismatch issues.","Ignoring hydration errors.","Next.js apps.","react rendering","4"
"What is SSR vs CSR?","SSR renders on server; CSR on client.","Impacts SEO and performance.","Web apps.","SSR complexity.","Using SSR unnecessarily.","SEO pages.","frontend architecture","3"
"What is debounce?","Delays execution until inactivity.","Reduces calls.","User input.","Delay in response.","Over-delaying.","Search input.","frontend performance","2"
"What is throttle?","Limits execution rate.","Controls frequency.","Scroll events.","Missed updates.","Confusing with debounce.","Event handling.","frontend performance","2"
"What is Angular change detection?","Detects and updates UI changes.","Core Angular mechanism.","Angular apps.","Performance cost.","Not optimizing detection.","Component updates.","angular rendering","3"
"What is Angular OnPush strategy?","Optimized change detection.","Improves performance.","Large apps.","Requires immutability.","Incorrect usage.","Performance tuning.","angular performance","4"
"What is Angular DI?","Dependency injection system.","Improves modularity.","Angular apps.","Complex hierarchy.","Misconfiguring providers.","Service injection.","angular architecture","2"
"What is RxJS?","Reactive programming library.","Handles async streams.","Angular apps.","Steep learning curve.","Overusing observables.","Event streams.","angular rxjs","3"
"What is memory leak in frontend?","Unused objects retained in memory.","Degrades performance.","Long-running apps.","Hard to detect.","Not cleaning up effects.","Event listeners.","frontend performance","4"
"What is useEffect cleanup?","Function to clean side effects.","Prevents leaks.","Subscriptions.","Forgetting cleanup.","Leaving listeners active.","Timers.","react hooks","3"
"What is rendering bottleneck?","Slow UI updates.","Impacts UX.","Large apps.","Hard to debug.","Ignoring performance.","Heavy components.","frontend performance","4"
"What is batching in React?","Grouping multiple state updates.","Improves performance.","Frequent updates.","Unexpected behavior.","Assuming immediate updates.","Multiple setState calls.","react performance","3"
"What is stale closure problem?","Closure capturing old state.","Causes bugs.","Hooks.","Hard to debug.","Ignoring dependencies.","useEffect bugs.","react hooks","4"
"What is frontend caching?","Storing data locally.","Improves performance.","API-heavy apps.","Stale data.","Not invalidating cache.","User data.","frontend performance","3"
